Frequency (Hz)	Level (dB)
0.336456	-75.051231
0.672913	-79.267494
1.009369	-68.170151
1.345825	-63.724251
1.682281	-64.041786
2.018738	-70.941818
2.355194	-64.902908
2.691650	-61.440987
3.028107	-66.328110
3.364563	-67.503006
3.701019	-65.434372
4.037476	-63.602478
4.373932	-64.968842
4.710388	-63.348152
5.046844	-60.002220
5.383301	-60.917591
5.719757	-66.784851
6.056213	-60.953053
6.392670	-62.482613
6.729126	-59.789078
7.065582	-60.678642
7.402039	-61.055592
7.738495	-60.329014
8.074951	-60.352222
8.411407	-61.040363
8.747864	-57.082592
9.084320	-59.886417
9.420776	-61.534985
9.757233	-62.867199
10.093689	-61.639484
10.430145	-61.321499
10.766602	-66.608459
11.103058	-61.864056
11.439514	-62.410042
11.775970	-63.988953
12.112427	-61.906559
12.448883	-64.180000
12.785339	-52.423748
13.121796	-31.428061
13.458252	-26.548037
13.794708	-33.167866
14.131165	-52.347565
14.467621	-61.755806
14.804077	-61.481518
15.140533	-61.629063
15.476990	-65.103088
15.813446	-56.418655
16.149902	-54.272655
16.486359	-62.468788
16.822815	-54.118568
17.159271	-59.220257
17.495728	-58.227242
17.832184	-55.502602
18.168640	-57.751717
18.505096	-57.977814
18.841553	-58.031906
19.178009	-58.817272
19.514465	-62.939308
19.850922	-64.622627
20.187378	-62.341965
20.523834	-58.770721
20.860291	-58.460106
21.196747	-57.164234
21.533203	-60.219208
21.869659	-65.166878
22.206116	-64.376099
22.542572	-63.326046
22.879028	-57.678806
23.215485	-46.381531
23.551941	-45.080925
23.888397	-53.127213
24.224854	-58.998013
24.561310	-59.253719
24.897766	-60.556705
25.234222	-57.310360
25.570679	-60.570881
25.907135	-58.518810
26.243591	-55.994118
26.580048	-58.334034
26.916504	-59.841633
27.252960	-57.079445
27.589417	-56.890358
27.925873	-59.127243
28.262329	-57.597202
28.598785	-59.649551
28.935242	-60.187817
29.271698	-64.859695
29.608154	-64.080902
29.944611	-65.385597
30.281067	-64.210831
30.617523	-64.130936
30.953979	-67.618759
31.290436	-67.638611
31.626892	-59.673016
31.963348	-56.868469
32.299805	-59.370712
32.636261	-60.821178
32.972717	-61.458141
33.309174	-64.413353
33.645630	-62.619667
33.982086	-59.837326
34.318542	-66.248695
34.654999	-67.756027
34.991455	-63.362907
35.327911	-58.750706
35.664368	-61.340309
36.000824	-54.328491
36.337280	-58.125572
36.673737	-61.105579
37.010193	-64.181313
37.346649	-63.350430
37.683105	-65.945976
38.019562	-60.488525
38.356018	-55.326805
38.692474	-61.292400
39.028931	-65.150482
39.365387	-62.073505
39.701843	-65.751305
40.038300	-63.499596
40.374756	-61.455387
40.711212	-61.389091
41.047668	-68.303352
41.384125	-64.803314
41.720581	-62.098145
42.057037	-57.550594
42.393494	-62.167015
42.729950	-54.605312
43.066406	-52.072460
43.402863	-66.519600
43.739319	-54.354549
44.075775	-55.410732
44.412231	-55.066864
44.748688	-58.391018
45.085144	-60.160316
45.421600	-65.260384
45.758057	-67.786636
46.094513	-61.635860
46.430969	-56.651928
46.767426	-59.472618
47.103882	-63.550468
47.440338	-59.422592
47.776794	-63.060257
48.113251	-58.743752
48.449707	-63.371704
48.786163	-66.179008
49.122620	-65.863281
49.459076	-63.104797
49.795532	-63.218044
50.131989	-66.515984
50.468445	-71.120514
50.804901	-66.606163
51.141357	-62.441368
51.477814	-60.561878
51.814270	-59.806610
52.150726	-60.804653
52.487183	-64.398140
52.823639	-59.166306
53.160095	-57.489254
53.496552	-62.697842
53.833008	-64.092949
54.169464	-63.567104
54.505920	-61.764008
54.842377	-64.701675
55.178833	-62.637402
55.515289	-62.186638
55.851746	-64.470726
56.188202	-67.443886
56.524658	-64.204453
56.861115	-65.717346
57.197571	-66.970459
57.534027	-70.808350
57.870483	-68.840744
58.206940	-66.176163
58.543396	-65.754990
58.879852	-64.695000
59.216309	-65.031715
59.552765	-68.103989
59.889221	-62.550205
60.225677	-64.175873
60.562134	-60.298634
60.898590	-59.664738
61.235046	-66.087738
61.571503	-70.870163
61.907959	-64.207733
62.244415	-62.327187
62.580872	-60.832397
62.917328	-55.691620
63.253784	-59.482899
63.590240	-65.394440
63.926697	-69.816818
64.263153	-67.156731
64.599609	-63.385696
64.936066	-60.762817
65.272522	-58.887268
65.608978	-62.902843
65.945435	-65.243904
66.281891	-62.990860
66.618347	-63.725643
66.954803	-68.166901
67.291260	-66.563507
67.627716	-63.150349
67.964172	-66.541664
68.300629	-66.232834
68.637085	-61.571350
68.973541	-61.507561
69.309998	-65.893898
69.646454	-65.532898
69.982910	-60.665657
70.319366	-63.077808
70.655823	-65.975960
70.992279	-65.084061
71.328735	-66.384972
71.665192	-64.894798
72.001648	-69.741859
72.338104	-63.632050
72.674561	-57.478859
73.011017	-62.400822
73.347473	-64.187820
73.683929	-62.897175
74.020386	-63.167789
74.356842	-62.893791
74.693298	-62.589951
75.029755	-63.011036
75.366211	-63.490589
75.702667	-64.614922
76.039124	-63.344509
76.375580	-64.943634
76.712036	-66.481400
77.048492	-69.127457
77.384949	-66.571854
77.721405	-69.256668
78.057861	-68.501633
78.394318	-66.510925
78.730774	-66.865768
79.067230	-67.077408
79.403687	-68.758888
79.740143	-66.469994
80.076599	-65.041626
80.413055	-70.014297
80.749512	-67.238579
81.085968	-62.781902
81.422424	-61.665844
81.758881	-66.991829
82.095337	-60.714447
82.431793	-58.601208
82.768250	-64.175392
83.104706	-66.387611
83.441162	-63.094723
83.777618	-65.330933
84.114075	-66.098724
84.450531	-70.230797
84.786987	-63.851738
85.123444	-62.545353
85.459900	-66.308441
85.796356	-66.626831
86.132812	-63.960621
86.469269	-66.556084
86.805725	-63.558510
87.142181	-63.550705
87.478638	-69.643867
87.815094	-68.177513
88.151550	-71.575111
88.488007	-71.217361
88.824463	-71.549644
89.160919	-72.875038
89.497375	-71.718063
89.833832	-71.723969
90.170288	-63.465927
90.506744	-64.532692
90.843201	-69.281227
91.179657	-73.994537
91.516113	-68.007668
91.852570	-65.622803
92.189026	-64.105766
92.525482	-65.158119
92.861938	-71.910599
93.198395	-73.321678
93.534851	-66.984085
93.871307	-72.931129
94.207764	-73.338219
94.544220	-65.422852
94.880676	-66.064888
95.217133	-77.892212
95.553589	-68.321037
95.890045	-65.356110
96.226501	-68.790169
96.562958	-71.809425
96.899414	-70.655876
97.235870	-72.926498
97.572327	-72.807510
97.908783	-67.729683
98.245239	-68.791161
98.581696	-70.004654
98.918152	-68.826767
99.254608	-66.222183
99.591064	-66.839653
99.927521	-71.841827
100.263977	-74.929329
100.600433	-73.873924
100.936890	-71.305229
101.273346	-72.061462
101.609802	-68.547668
101.946259	-70.490204
102.282715	-68.825104
102.619171	-65.784592
102.955627	-71.024734
103.292084	-69.444496
103.628540	-62.973988
103.964996	-66.081955
104.301453	-78.033752
104.637909	-74.801994
104.974365	-74.965431
105.310822	-76.246071
105.647278	-73.051826
105.983734	-74.580612
106.320190	-74.902412
106.656647	-77.025703
106.993103	-70.946297
107.329559	-71.661987
107.666016	-68.926773
108.002472	-68.406319
108.338928	-70.138336
108.675385	-72.171898
109.011841	-70.515343
109.348297	-69.796608
109.684753	-73.078972
